play_count,score,link,domain,name
2000000000,7.4,https://v.qq.com/x/cover/m1qxu7dd4aoekqp.html,qq,漂亮的李慧珍
18190000,6.8,https://v.qq.com/x/cover/f1k3sqe398r3vwc.html,qq,地道战
4990000,8.2,https://v.qq.com/x/cover/74knnc2ir4acs07.html,qq,天龙神剑
91530000,6.8,https://v.qq.com/x/cover/ycdc1jttevi1z96.html,qq,红酒俏佳人
4510000,7.2,https://v.qq.com/x/cover/oml5w563muhr601.html,qq,猎狐
6600000,8.2,https://v.qq.com/x/cover/fx796wg5x5ovssu.html,qq,滇西1944
6020000,8.1,https://v.qq.com/x/cover/827y7n6m6056bv9.html,qq,天地传说之鱼美人
31320000,6.5,https://v.qq.com/x/cover/5ilv4ula2oenhvw.html,qq,武当 2
1400000000,7.9,https://v.qq.com/x/cover/867cm3h8gc01213.html,qq,遇见爱情的利先生
3310000,7.7,https://v.qq.com/x/cover/usd5tybvhyivosq.html,qq,生死路上
400000000,7.8,https://v.qq.com/x/cover/sx0093wm49xw0kz.html,qq,老公们的私房钱
52340000,7.1,https://v.qq.com/x/cover/9qikfq28xqb01y9.html,qq,漂亮的李慧珍[未删减版]
4170000,7.4,https://v.qq.com/x/cover/knx4jpbdzpluidl.html,qq,男才女貌 2 灰姑娘的幸福
100000000,4.8,https://v.qq.com/x/cover/zvhf1eaua49ncuo.html,qq,九九
100000000,9.8,https://v.qq.com/x/cover/aav44xv50k8sfjb.html,qq,西游记
45620000,9.0,https://v.qq.com/x/cover/icpisy7vkq4jidp.html,qq,陷入纯情
35980000,6.9,https://v.qq.com/x/cover/exftxujhbp285mv.html,qq,爱上朋友妈第一季
100000000,7.6,https://v.qq.com/x/cover/sxdx60692oomk7m.html,qq,青云志周周见
11570000,8.0,https://v.qq.com/x/cover/tx12sqjba6qlkcj.html,qq,滴血玫瑰
2200000000,7.5,https://v.qq.com/x/cover/23slhnan3qz2y6y.html,qq,守护丽人
96870000,6.7,https://v.qq.com/x/cover/y1xpnck2llvs7wa.html,qq,武林猛虎
2060000,8.2,https://v.qq.com/x/cover/rjdcppvate52t4t.html,qq,女人在家
34160000,8.6,https://v.qq.com/x/cover/yzckw72260pqst8.html,qq,真爱如血第一季
3850000,7.1,https://v.qq.com/x/cover/0yr7cv7ylw5qu8d.html,qq,幽灵计划
1760000,7.3,https://v.qq.com/x/cover/qg7yxcwkcm66zqh.html,qq,暗战风云
28560000,6.6,https://v.qq.com/x/cover/hruw3xv7j4u4jus.html,qq,狙击手
200000000,8.2,https://v.qq.com/x/cover/q13i2o2cgsv5cyk.html,qq,槑头槑脑
100000000,8.8,https://v.qq.com/x/cover/d7u3cmiuxmsjd53.html,qq,封神榜
29830000,8.0,https://v.qq.com/x/cover/r1o1jwmszis47vr.html,qq,金蚕丝雨
6740000,8.6,https://v.qq.com/x/cover/fieg8u0it0pc5t4.html,qq,敌营十八年
84170000,9.2,https://v.qq.com/x/cover/i515nkzxr99i8sv.html,qq,第22届上海电视节白玉兰奖颁奖典礼
10460000,9.5,https://v.qq.com/x/cover/myrwh1kug4kh1fj.html,qq,我爱我家
300000000,9.4,https://v.qq.com/x/cover/2jobpnixobpfmef.html,qq,一起同过窗
10920000,8.6,https://v.qq.com/x/cover/99pmaz065zspe7l.html,qq,当家的女人
4430000,7.2,https://v.qq.com/x/cover/kjdofu6rq8eiyzo.html,qq,男才女貌
4760000,8.6,https://v.qq.com/x/cover/cdbamaimajv208w.html,qq,勇者无敌
4760000,8.9,https://v.qq.com/x/cover/dr39lbgkk21fogp.html,qq,小娘惹
8910000,7.8,https://v.qq.com/x/cover/wzdjxy6l61c8na2.html,qq,神厨
4290000,8.5,https://v.qq.com/x/cover/7kgrzobmjg10jp4.html,qq,杨光的快乐生活4
11690000,7.9,https://v.qq.com/x/cover/zhnx4ng4smhnmxa.html,qq,单亲妈妈
100000000,8.1,https://v.qq.com/x/cover/uv747r53l8e39bs.html,qq,我的仙界学院
2820000,6.9,https://v.qq.com/x/cover/h9l1oeugygzyods.html,qq,满汉全席
3250000,9.1,https://v.qq.com/x/cover/z21appvbmxuceun.html,qq,民工
11740000,6.5,https://v.qq.com/x/cover/taletr3g3sf7yzw.html,qq,精卫填海
51220000,7.8,https://v.qq.com/x/cover/aihoaq2s1az6rwo.html,qq,吸血鬼日记 第七季
7100000,7.4,https://v.qq.com/x/cover/e562nmaq13y4poy.html,qq,摩西密码
30590000,4.7,https://v.qq.com/x/cover/9qqhoz7c1ukpona.html,qq,新还珠格格 第二部
7860000,6.6,https://v.qq.com/x/cover/73f7sh5nnzhs3wp.html,qq,血色玫瑰
7270000,7.8,https://v.qq.com/x/cover/kb3uk04bk6o933h.html,qq,关公
23240000,4.7,https://v.qq.com/x/cover/iopakb6xpzpwyrb.html,qq,新还珠格格 第三部
34680000,8.1,https://v.qq.com/x/cover/gbk8ixywf6ic0g6.html,qq,我的兄弟叫顺溜
7850000,6.3,https://v.qq.com/x/cover/oo6sc5fhmqrj3gp.html,qq,小男人遇上大女人
6550000,6.7,https://v.qq.com/x/cover/o09gavsevngjdsc.html,qq,八路军
69040000,7.1,https://v.qq.com/x/cover/v11zmblctxcwjf0.html,qq,闺蜜嫁到
95100000,6.6,https://v.qq.com/x/cover/gbj7n4mh9xnghtb.html,qq,雪花女神龙
59820000,6.7,https://v.qq.com/x/cover/mv632fdchjmqhdt.html,qq,哑巴新娘
100000000,7.0,https://v.qq.com/x/cover/uhx5v53g3z0nfjv.html,qq,我的辣妹保镖
11850000,7.6,https://v.qq.com/x/cover/sqmkhre9cpq6t2y.html,qq,欢乐颂2
3570000,7.8,https://v.qq.com/x/cover/3eynywfd8ph8wuq.html,qq,夜隼
