domain,link,play_count,name,score
sohu,http://tv.sohu.com/item/MTIwNTY2NA==.html,3319599,动漫英雄,9.0
sohu,http://tv.sohu.com/item/MTIwNTM0Nw==.html,17087509,我是你的百搭,8.0
sohu,http://tv.sohu.com/item/MTIwNzg2Nw==.html,320689,小雪,0.0
sohu,http://tv.sohu.com/item/MTIwODIwMA==.html,18658579,红星照耀中国（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTE5OTE2MQ==.html,24187123,小镇大法官,8.0
sohu,http://tv.sohu.com/item/MTE5NzM5Mg==.html,49867451,我的博士老公,5.0
sohu,http://tv.sohu.com/item/MTIwNTY2Ng==.html,25684428,一马换三羊,7.0
sohu,http://tv.sohu.com/item/MTIwNzk3OA==.html,23746846,亲密的搭档,8.0
sohu,http://tv.sohu.com/item/MTA3NzYxOQ==.html,34899736,幸福满屋,9.0
sohu,http://tv.sohu.com/item/MTIwNjA1NA==.html,11575317,港媳嫁到,8.0
sohu,http://tv.sohu.com/item/MTIwNDczOA==.html,393388,还是夫妻,6.0
sohu,http://tv.sohu.com/item/MTIwNTI1Mw==.html,57687314,奇妙的时光之旅（卫视版）,9.0
sohu,http://tv.sohu.com/item/MTIwMzI4MA==.html,42116422,好运来临,6.0
sohu,http://tv.sohu.com/item/MTE5OTczNw==.html,17625981,爱的追踪,7.0
sohu,http://tv.sohu.com/item/MTIwNDkzMQ==.html,623506,龙门村的故事,0.0
sohu,http://tv.sohu.com/item/MTIwNzY5OA==.html,27018893,安居,9.0
sohu,http://tv.sohu.com/item/MTIwMjY4Nw==.html,9898291,我们的纯真年代,7.0
sohu,http://tv.sohu.com/item/MTA5ODgwMA==.html,15466346,匹夫英雄,6.0
sohu,http://tv.sohu.com/item/MTIwNTM1OQ==.html,42124944,女人不容易,7.0
sohu,http://tv.sohu.com/item/MTE5MTgxNQ==.html,49983129,你是我的眼,7.0
sohu,http://tv.sohu.com/item/MTIwNzQ2MA==.html,50426612,且行且珍惜,8.0
sohu,http://tv.sohu.com/item/MTE5OTE1NA==.html,20466558,亲情暖我心,7.0
sohu,http://tv.sohu.com/item/MTE5ODU5OA==.html,3947280,我爷爷与奶奶的故事,4.0
sohu,http://tv.sohu.com/item/MTE5NDY5NQ==.html,91119252,于无声处,8.0
sohu,http://tv.sohu.com/item/MTIwMzQ3Ng==.html,19674136,家和万事兴之花好月圆（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTIwMjM3Ng==.html,42676738,绝命追踪,7.0
sohu,http://tv.sohu.com/item/MTE5OTM2NA==.html,44382070,坐88路车回家,8.0
sohu,http://tv.sohu.com/item/MTE5ODYyOQ==.html,4019129,壮丁也是兵,6.0
sohu,http://tv.sohu.com/item/MTE5OTM2MQ==.html,104830196,老婆大人是80后,6.0
