best2_score,best3_name,job,best1_name,best4_name,best4_score,best1_score,best3_score,best2_name,id,best5_name,best5_score,name
9.1,鬼马小精灵3,actor,神话剧场 第一季,安妮·霍尔,8.5,9.2,8.5,欢乐一家亲 第一季,1010585,迷离时空 第一季,8.5,谢莉·杜瓦尔
8.5,英国偶像 第十一季,actor,The Big Fat Qui...,全英音乐颁奖典...,7.4,9.3,7.4,英国偶像 第七季,1010586,2009全英音乐奖...,7.4,谢丽尔·科尔
9.4,幻术大师 第一季,actor,冤家成双对 第三季,冤家成双对 第一季,9.0,9.4,9.2,冤家成双对 第二季,1010587,冤家成双对 第四季,8.7,吉娜·贝尔曼
9.2,唐顿庄园 第六季,actor,唐顿庄园：2015...,神话剧场 第一季,9.2,9.4,9.2,唐顿庄园  第一季,1010588,唐顿庄园：2011...,9.2,伊丽莎白·麦戈文
9.0,盗火线,actor,欢乐一家亲 第一季,母与子,8.0,9.1,8.4,守望尘世 第二季,1010591,无关紧要,7.8,艾米·布伦尼曼
8.6,末世黑天使  第二季,actor,海军罪案调查处 ...,核爆危机 第一季,7.8,8.7,8.0,人工智能,1010595,核爆危机 第二季,7.7,艾什丽·斯科特
8.7,黑鹰坠落,actor,欲望都市  第二季,情理法的春天 第...,8.5,8.9,8.5,政界小人物 第一季,1010596,犯罪现场调查 第...,8.5,布莱恩·范·霍尔特
9.2,白宫风云  第七季,actor,少年嘻哈梦,白宫风云  第六季,9.1,9.3,9.1,周六夜现场 第一季,1010598,星球大战前传3：...,8.2,吉米·斯密茨
9.3,同志亦凡人 第二季,actor,同志亦凡人 第三季,同志亦凡人 第四季,9.1,9.3,9.2,同志亦凡人 第五季,1010599,同志亦凡人 第一季,8.9,葛尔·哈罗德
9.1,70年代秀  第五季,actor,豪斯医生  第三季,歪星撞地球 第一季,9.0,9.3,9.1,70年代秀 第二季,1010600,70年代秀 第三季,9.0,柯特伍德·史密斯
9.0,机器肉鸡 第一季,actor,白宫风云 第一季,海绵宝宝：比基...,8.7,9.1,8.8,歪星撞地球 第一季,1010601,霹雳游侠 第一季,8.6,大卫·哈塞尔霍夫
