actor1,first_show,actor4,title,actor3,production_company,name2,online,style,writer,actor2,douban_num,name1,seasons,director,episodes,douban_score
罗仲谦,2015年3月2日,米雪,冲线,蔡思贝,香港电视广播有限公司,,,时装,,沈震轩,597,,,,20集,5.6
张继聪,2015年08月31日,林夏薇,收规华,杨明,香港电视广播有限公司,,翡翠台、高清翡翠台,民初,,杨怡,616,,,方骏钊,20集,6.6
李多海,2016,朴洸贤,最佳情侣,王秋紫,阿里数娱出品,,优酷,爱情，喜剧,康秀连,周觅,80,,,柳哲容,16集,0
,,,画江湖之不良人,,,,,大型三维成人武侠动画连续剧,关心,,7604,,,刘阔,54集,8.2
袁中方,2014年12月29日,于果,拐个皇帝回现代,郭家豪,乐视网信息技术（北京）股份有限公司,,乐视网,古装 魔幻 爱情,艺耀剧创编剧工作室 张艺耀,季晨,1755,,,朱少杰,50,5.9
包贝尔,2015年6月21日,周璞,傻根进城,何建泽,中国传媒大学电视制作中心,,爱奇艺,都市,陈晓春,董维嘉,124,,,张轩南,35集,6.6
王宁,2014年12月26日,李乐儿,废柴兄弟2,魏梦,爱奇艺,,爱奇艺,网络剧 / 言情剧 / 喜剧,尹琪，佟亮，东东枪，魏宏博等,修睿,911,,,尹琪,21,7.5
罗弘证,2016-10-15,邱翊橙,High 5 制霸青春,谢怡芬,联合互动传播股份有限公司,,优酷、爱奇艺台湾站,青春，偶像，校园,林子平,连晨翔,109,,,林子平,13（台湾）/26（内地）,7.6
陈赫,2015.4.9,李佳航,爱情公寓番外篇,孙艺洲,上海高格影视制作有限公司,,爱奇艺,爱情,汪远,娄艺潇,,,,韦正,第一季4集第二季4集第三季6集,
,,,白衣校花与大长腿2番外篇,,,,,,,,,,,,,
佟梦实,,刘倩妤,别那么骄傲,官鸿,优酷,,优酷,青春,,宋芸桦,1735,,,沈沁源,20集（第一季）；18集（第二季）,6.4
丁一宇,2015年11月13日,李时言,高品格单恋,尹宝拉,搜狐视频,,搜狐视频,爱情,申儒潭,陈世妍,3126,,,池英秀,20,7.8
,,,爱笑不笑 第二季,,,,,,,,,,,,,
,,,如果没有,,,,,言情小说,,,576,,,,,5.4
,,,微笑来了 第二季,,,,,,,,,,,,,
周迅,,金世佳,西游奇遇外传,阿雅,浙江卫视,,腾讯,喜剧，奇幻,杨三烈,岳云鹏,10,,,薛凌,8,0
赵明义,2015年8月18日,姜佩瑶,太那个了吧,杨旭,,,乐视网,,王兵 某小丫 左志国 陈弈辛,王兵,22,,,王兵,,0
王佑硕,,田中千绘,午夜计程车2,郝云,,,优酷、土豆,深夜精品治愈剧,,高鑫,85,,,萩生田宏治,10,6.4
李光洙,2016年11月7日,金美京,心里的声音,金秉玉,韩国KBS电视台,,Naver TV Cast、搜狐视频,言情,李炳勋,郑素敏,18935,,,河秉勳,5集（KBS电视播出版）,9
赵春天,,任承浩,还珠格格2015,王淑妍,北京福盛天成文化传媒有限公司,,爱奇艺 乐视 优酷网,古装，喜剧，剧情，爱情,姜欣欣,刘耀飞,57,,,姜欣欣,,2.9
,,,装哔学院2,,,,,,,,24,,,,,0
李林,2014年12月31日,乔杉,猎人公会之非你莫属,黄艺馨,优酷土豆集团,,优酷网，土豆网,偶像,,班嘉佳,23,,,荆丽鹏,11集,0
张子栋,2015年,隋凯,发明大师,郝邵文,北京爱奇艺科技有限公司,,爱奇艺,科幻剧/网络剧/喜剧,沙海龙,杨爱瑾,20,,,徐超,10集,0
刘牧梅,,张玉轩,了不起的咔嚓,张晓飞,天纳TAMNAAAA,,优酷、土豆,都市奇幻喜剧,王铮,戴路,345,,,杨帆,第0季7集,6.8
石泰铭 刘怡 靳君 李峻贤 胥渡,,,大话蛇仙,,,,,喜剧,胥渡,,93,腾讯视频,,,第一季20集,7.7
鄂博、孔庆冰、杨东麒、战琛皓,2015年10月24日,,千万别基动,,乐视网,,乐视网,喜剧,崔继丹,,21,,,十一月,23,0
,,,萌翻记 第一季,,,,,,,,,,,,,
但欣 / 赵婧伊 / 雷诺儿 / 朱嘉琦,,,傲魂之活死人,,北京青果灵动科技有限公司 游戏网,,爱奇艺,悬疑剧 / 网络剧,李众伦 李光睿,,33,,,贾方[2],共10集,5
王宝强,,辛芷蕾,不可思议,大鹏,星汇天姬,,,3D/科幻/喜剧/剧情,孙周,小沈阳,2919,,,孙周,,6.8
王祖蓝,2015年11月22日（中国大陆）,,饿了别叫妈之走火入模,,,,爱奇艺,喜剧,王祖蓝,,26,,,刘宏基,12集,0
孟璐,2015年10月09日,戚蓝尹,小主起来嗨,万国鹏,北京和灵影视文化有限公司,,乐视网,喜剧/都市,琉纳，冠高原，戴勇，席喆文，刘昊岩，大奇,陈慕,9,,,刘超,15集,0
