ranking4,play_count,ranking2,actors3,name4,show_theatre,thumbs_down,actors4,location,name1,production_company,style,ranking3,length,director,seasons,show_platform,show_date,link,actors2,rating3,share4,actors1,writer,title,episodes,language,rating1,ranking1,rating2,thumbs_up,douban_score,share1,name3,name2,rating4,share3,show_time,first_show,douban_num,share2,year,score
,9.40亿,,,,,165688,,内地,,,言情剧/古装剧/偶像剧/青春剧,,,黄祖权,,,,http://www.iqiyi.com/a_19rrgjdll1.html,,,,,,金玉良缘,,国语,,,,1217393,6.9,,,,,,,,16774,,,8.8
,7.37亿,1.0,,,,161703,,内地,,,偶像剧/剧情/都市,,,王小列,,,,http://www.iqiyi.com/a_19rrhb6mfh.html,,,,,,神犬小七,,国语,1.6389130434782606,1.2608695652173914,3.589166666666667,1747553,,4.603521739130436,,,,,,,,10.627499999999998,,9.2
,1.90亿,,,,,8759,,内地,,,古装剧/悬疑剧/罪案剧/剧情,,,阚卫平,,,,http://www.iqiyi.com/a_19rrk2u67t.html,,,,,,大宋提刑官,,52集全,,,,54718,8.7,,,,,,,,15602,,,8.6
,8.20亿,,,,,95365,,内地,,,悬疑剧/罪案剧/剧情/网络剧,,,五百,,,,http://www.iqiyi.com/a_19rrhaviyp.html,,,,,,心理罪,,国语,,,,570213,7.6,,,,,,,,13856,,,8.6
,8.72亿,,,,,30473,,内地,,,剧情,,,国建勇,,,,http://www.iqiyi.com/a_19rrh9zgah.html,,,,,,伏击,,国语,,,,65589,4.8,,,,,,,,48,,,6.8
,5.97亿,,,,,39153,,内地,,,言情剧/武侠剧/古装剧/偶像剧/宫廷剧,,,赖水清/邓衍成/谭锐铭,,,,http://www.iqiyi.com/a_19rrhc1sr9.html,,,,,,鹿鼎记韩栋版,,国语,,,,320115,,,,,,,,,,,,8.9
,6.80亿,7.296296296296297,,,,62852,,内地,北京卫视,,言情剧/农村剧/剧情,,,毛卫宁,,,,http://www.iqiyi.com/a_19rrhc1qy5.html,,,,,,平凡的世界,,国语,0.684607142857143,6.25,0.6551851851851851,327393,8.1,,,东方卫视,,,,,12466,,,8.4
,1.96亿,,,,,26172,,内地,,,年代剧/悬疑剧/谍战剧,,,钱雁秋,,,,http://www.iqiyi.com/a_19rrgi95ux.html,,,,,,大漠枪神,,国语,,,,131369,4.4,,,,,,,,220,,,8.3
,7.77亿,1.0,,,,61733,,内地,csm48城收视率,,言情剧/偶像剧/家庭剧,,,张哲书,,,,http://www.iqiyi.com/a_19rrgia9zd.html,,,,,,妻子的秘密,,国语,1.0819583333333334,2.608695652173913,2.170416666666666,355732,4.7,3.0288749999999993,,全国网收视率,,,,,1157,6.366249999999998,,8.5
,2.04亿,,,,,8183,,内地,,,历史剧/谍战剧/军旅剧,,,孙小光,,,,http://www.iqiyi.com/a_19rrgjc6rp.html,,,,,,战火兵魂,,国语,,,,40688,,,,,,,,,,,,8.3
,15.92亿,,,,,142415,,内地,,,言情剧/家庭剧/都市,,,徐辅军/周家文,,,,http://www.iqiyi.com/a_19rrhb0om5.html,,,,,,妻子的谎言,,国语,1.644096774193548,1.032258064516129,,717740,4.2,4.758677419354838,,,,,,,1285,,,8.3
,4.43亿,,,,,25381,,内地,,,历史剧/古装剧/悬疑剧/罪案剧,,,钱雁秋,,,,http://www.iqiyi.com/a_19rrk7444x.html,,,,,,神探狄仁杰第二部,,40集全,,,,186464,,,,,,,,,,,,8.8
,11.13亿,10.083333333333334,,,,95529,,内地,深圳卫视CSM50城收视,,偶像剧/家庭剧,,,沈怡,,,,http://www.iqiyi.com/a_19rrhb8xrd.html,,,,,,幸福归来,,国语,0.8116249999999999,7.083333333333333,0.6354583333333333,407927,4,2.145625,,江西卫视CSM50城收视,,,,,319,1.6715833333333334,,8.1
,3.02亿,,,,,10304,,内地,,,历史剧/古装剧/宫廷剧,,,冯小宁,,,,http://www.iqiyi.com/a_19rrk57bhl.html,,,,,,朱元璋,,46集全,,,,40085,7.6,,,,,,,,821,,,8.0
,2.11亿,,,,,30333,,内地,,,武侠剧/古装剧/剧情,,,胡明凯,,,,http://www.iqiyi.com/a_19rrj5onv5.html,,,,,,隋唐英雄传,,国语,,,,205058,7.4,,,,,,,,4727,,,8.7
,6.19亿,9.666666666666666,,,,87147,,内地,,,言情剧/偶像剧/喜剧/青春剧,16.0,,蒋家骏,,,,http://www.iqiyi.com/a_19rrgiigpp.html,,0.3746666666666666,,,,爱情回来了,,国语,0.5359285714285714,9.642857142857142,0.5184,941723,6.7,,,,,,,,3020,,,9.2
,3.04亿,,,,,52438,,内地,,,偶像剧/喜剧/都市/网络剧,,,张修诚,,,,http://www.iqiyi.com/a_19rrhav5u5.html,,,,,,校花的贴身高手3,,国语,,,,291105,4.3,,,,,,,,51,,,8.5
,2.00亿,,,,,75859,,内地,,,言情剧/偶像剧/都市/网络剧,,,欧阳奋强,,,,http://www.iqiyi.com/a_19rrh9rnop.html,,,,,,我的蠢萌老公,,国语,,,,170495,5.8,,,,,,,,285,,,6.9
,11.27亿,,,,,39931,,内地,,,军旅剧,,,于震/耿明吉,,,,http://www.iqiyi.com/a_19rrh9xdbt.html,,,,,,不可能完成的任务,,国语,,,,95361,5.1,,,,,,,,502,,,7.0
,5.36亿,,,,,12236,,内地,,,言情剧/军旅剧,,,余明生,,,,http://www.iqiyi.com/a_19rrjpha8l.html,,,,,,箭在弦上,,,,,,75553,5.1,,,,,,,,1214,,,8.6
,3.16亿,1.0303030303030303,,,,141834,,内地,,,言情剧/偶像剧/青春剧/都市,,,曾丽珍,,,,http://www.iqiyi.com/a_19rrifssl2.html,,,,,,最美的时光,,,1.3715294117647059,1.0303030303030303,2.4281818181818187,664387,6.7,3.7138823529411766,,,,,,,12937,6.549393939393938,,8.2
,2.91亿,,,,,27252,,内地,,,武侠剧/古装剧/罪案剧,,,刘立立,,,,http://www.iqiyi.com/a_19rrj6vgq5.html,,,,,,新包青天,,国语,,,,146314,6.8,,,,,,,,953,,,8.4
,4.95亿,,,,,528586,,内地,,,喜剧/青春剧/家庭剧,,,林丛,,,,http://www.iqiyi.com/a_19rrj6rl8l.html,,,,,,家有儿女 第一部,,100集全,,,,4226541,,,,,,,,,,,,8.9
,3.58亿,,,,,46807,,内地,,,言情剧/农村剧/喜剧/家庭剧,,,孟令宇,,,,http://www.iqiyi.com/a_19rrhbvwn1.html,,,,,,收获的季节,,国语,,,,182651,6.5,,,,,,,,187,,,8.0
,26.25亿,,,,,179535,,内地,CSM52城市网收视率,,言情剧/历史剧/古装剧/偶像剧,,,袁英明/程力栋/国建勇,,,,http://www.iqiyi.com/a_19rrhb0u3t.html,,,,,,武神赵子龙,,国语,1.1129285714285715,2.2142857142857144,,1038075,3.3,3.195,,,,,,,3723,,,8.5
,2.80亿,,,,,32143,,内地,,,古装剧/悬疑剧/网络剧,,,杨东亮,,,,http://www.iqiyi.com/a_19rrha0d01.html,,,,,,妖出长安,,,,,,69758,5.3,,,,,,,,1236,,,6.8
,5.92亿,,,,,102381,,内地,,,言情剧/偶像剧/青春剧/剧情/网络剧,,,郑军,,,,http://www.iqiyi.com/a_19rrhax8et.html,,,,,,白衣校花与大长腿2,,国语,,,,412260,3.9,,,,,,,,109,,,8.0
,1041万,,,,,3636,,台湾,,,喜剧/青春剧/家庭剧/剧情/网络剧,,,张钦,,,,http://www.iqiyi.com/a_19rrginwxt.html,,,,,,樱桃小丸子（真人版）,,国语,,,,4742,,,,,,,,,,,,5.7
,1.96亿,,,,,10605,,内地,,,历史剧/谍战剧/军旅剧,,,赵浚凯,,,,http://www.iqiyi.com/a_19rrhc4539.html,,,,,,狙击部队,,国语,,,,38087,4.4,,,,,,,,68,,,7.8
,1.17亿,,,,,17352,,内地,,,历史剧/古装剧/宫廷剧,,,陈家林,,,,http://www.iqiyi.com/a_19rrifs6we.html,,,,,,武则天刘晓庆版,,30集全,,,,54204,,,,,,,,,,,,7.6
