link,score,name,play_count,domain
http://www.le.com/tv/10017095.html,7.0,芙蓉诀,15158342,le
http://www.le.com/tv/10013494.html,7.8,大猫儿追爱记 会员看全集 58集全,10441646,le
http://www.le.com/tv/10014492.html,7.8,波达克第一季,12832018,le
http://www.le.com/tv/10010126.html,8.0,女人的秘密,16055792,le
http://www.le.com/tv/10008646.html,9.0,《甄嬛传》电视电影,40303969,le
http://www.le.com/tv/10008538.html,8.5,酷爸俏妈,248577743,le
http://www.le.com/tv/10012647.html,8.0,伪装者,510756513,le
http://www.le.com/tv/10033166.html,9.0,孤芳不自赏钟汉良cut版,18460426,le
http://www.le.com/tv/10009400.html,8.3,你是我的姐妹,340221441,le
http://www.le.com/tv/10033169.html,9.0,孤芳不自赏纪录片寻芳纪,1826090,le
http://www.le.com/tv/10006909.html,7.9,偏偏喜欢你,261804393,le
http://www.le.com/tv/10033897.html,8.7,乐次元影视会员之16年那点事儿,39729,le
http://www.le.com/tv/10033167.html,9.0,孤芳不自赏北捷日记,11565404,le
http://www.le.com/tv/10024813.html,9.6,漂亮的李慧珍,1328064367,le
http://www.le.com/tv/10033185.html,8.0,漂亮的李慧珍 未删减版,47163205,le
http://www.le.com/tv/10033831.html,8.0,皇子归来之欢喜知府,37936011,le
http://www.le.com/tv/10034020.html,8.0,将婚姻进行到底,95682953,le
http://www.le.com/tv/10033802.html,8.0,孤战,34245322,le
http://www.le.com/tv/10033813.html,9.4,乱世丽人行,40736854,le
http://www.le.com/tv/10034322.html,8.0,守护丽人未删减版,200014042,le
http://www.le.com/tv/10031788.html,8.0,守护丽人,1535445069,le
http://www.le.com/tv/10031785.html,8.0,最后一张签证,0,le
http://www.le.com/tv/10033830.html,8.0,于成龙,31406802,le
http://www.le.com/tv/10033824.html,8.0,皇子归来之欢喜县令未删减版,18563425,le
http://www.le.com/tv/10033701.html,8.0,皇子归来之欢喜县令,41740023,le
http://www.le.com/tv/10004883.html,8.8,我最闪耀,5075420,le
http://www.le.com/tv/10000422.html,8.0,蕾女心经,119027336,le
http://www.le.com/tv/10002953.html,9.5,学姐知道,116282608,le
http://www.le.com/tv/96287.html,7.0,和平的全盛时代,166287913,le
http://www.le.com/tv/87765.html,9.1,步步惊情,202794435,le
http://www.le.com/tv/10002955.html,8.0,汉阳造,41159930,le
http://www.le.com/tv/81401.html,9.0,转身说爱你,34076226,le
http://www.le.com/tv/95432.html,7.8,男媒婆,92864708,le
http://www.le.com/tv/96082.html,6.1,老兵,210549272,le
http://www.le.com/tv/74584.html,7.0,狐仙,158831015,le
http://www.le.com/tv/10003308.html,8.5,神医大道公前传,71413253,le
http://www.le.com/tv/10005477.html,8.5,学姐很牛,19750452,le
http://www.le.com/tv/10002192.html,8.0,刀影,53207582,le
http://www.le.com/tv/10004634.html,8.2,不是不想嫁,37418756,le
http://www.le.com/tv/10004283.html,8.5,铁血刀锋,34141904,le
http://www.le.com/tv/93841.html,8.0,利箭纵横,87714499,le
http://www.le.com/tv/93100.html,8.8,犀利仁师,132216348,le
http://www.le.com/tv/10004461.html,8.2,铁血尖刀,44962669,le
http://www.le.com/tv/10000847.html,8.0,武林猛虎,40597661,le
http://www.le.com/tv/10001462.html,8.0,产科男医生,284072127,le
http://www.le.com/tv/10000526.html,7.8,秀秀的男人,111426629,le
http://www.le.com/tv/10003727.html,7.5,别逼我结婚,47163610,le
http://www.le.com/tv/10001465.html,6.8,飞哥大英雄,118688185,le
http://www.le.com/tv/94003.html,8.0,食来孕转,315463809,le
http://www.le.com/tv/10006821.html,7.2,清网行动,41912787,le
http://www.le.com/tv/10005520.html,8.0,穿越火线,51177359,le
http://www.le.com/tv/91700.html,8.0,大当家,190822657,le
http://www.le.com/tv/10001232.html,8.8,野鸭子2,47544601,le
http://www.le.com/tv/10000849.html,9.1,唐朝好男人2,135264411,le
http://www.le.com/tv/10001382.html,6.8,薛丁山,70503895,le
http://www.le.com/tv/10009881.html,8.2,金玉瑶,43361947,le
