rating2,ranking2,link,style,year,share3,actors4,actors2,thumbs_up,seasons,ranking3,name3,show_theatre,share2,name1,episodes,douban_score,share4,name2,length,rating4,show_date,play_count,show_time,actors1,ranking1,name4,location,aid1,rating1,ranking4,thumbs_down,title,production_company,aid4,share1,id,did,aid2,douban_num,score,show_platform,language,first_show,actors3,rating3,director,writer,aid3
,,https://movie.douban.com/subject/1786739/,剧情/喜剧/动作,1998,,周杰,苏有朋,,1,,,,,,24,8.2,,, 45分钟,,,,1998年04月28日,赵薇,,,中国大陆,,,,,还珠格格,台湾怡人传播有限公司、湖南电视台,,,1786739,,,69320,,台湾中视,,1998-10-28(中国大陆),林心如,,孙树培,琼瑶,
,,https://movie.douban.com/subject/2156663/,剧情/动作/奇幻,1986,,汪粤,迟重瑞,,1,,,,,,25,9.4,,, 45分钟,,,,,六小龄童,,,中国大陆,,,,,西游记,香港电视广播有限公司,,,2156663,,,71144,,,,1986(中国大陆),马德华,,杨洁,吴承恩,
1.2729743589743592,2.8421052631578947,https://movie.douban.com/subject/4922787/,剧情/古装,2011,,李东学,陈建斌,,1,,,今晚剧场,3.3810256410256407,,76,8.9,,, 45分钟,,,,,孙俪,1.605263157894737,,中国大陆,,1.4096666666666666,,,后宫·甄嬛传,北京电视艺术中心,,3.7266666666666666,4922787,,,113072,,,,2011-11-17(中国大陆),蔡少芬,,郑晓龙,吴雪岚,
,,https://movie.douban.com/subject/2138507/,喜剧/爱情,2007,,李小璐,佟大为,,1,,,,,,32,7.7,,, 45分钟,,,,2007年5月16日,马伊琍,,,中国大陆,,,,,奋斗,北京鑫宝源影视投资有限公司,,,2138507,,,79169,,上海电视剧频道,,2007-05-17(中国大陆),文章,,赵宝刚 ,石康,
,,https://movie.douban.com/subject/2254648/,剧情/战争,2005,,童蕾,何政军,,1,,,,,,30,8.9,,, 42分钟,,,,,李幼斌,,,中国大陆,,,,,亮剑,海润影视制作有限公司,,,2254648,,,37779,,,,2005-09-12(中国大陆),张光北,,张前,都梁,
,,https://movie.douban.com/subject/1830528/,剧情/历史/战争,1994,,李靖飞,孙彦军,,1,,,,,,84,9.2,,, 45分钟,,,,,唐国强,,,中国大陆,,,,,三国演义,,,,1830528,,,36931,,,,1994-10-23(中国大陆),鲍国安,,王扶林,罗贯中,
,,https://movie.douban.com/subject/2244363/,剧情/喜剧/爱情,2003,,陆毅,张延,,1,,,,,,39,7.2,,, 46分钟,,2003年4月30日,,,刘若英,,,中国大陆,,,,,粉红女郎,涩女郎,,,2244363,,,37681,,"上视电视剧频道
[2]",,2003-04-30(中国大陆),陈好,,伍宗德,张琪,
,,https://movie.douban.com/subject/26727298/,爱情/奇幻,2016,,姜其永,韩孝周,,1,,,,,,16,8.1,,, 60分钟,,2016年7月20日,,"周三、周四晚22:00（韩国时间）
[26]",李钟硕,1.125,,韩国,,,,,W-两个世界,绿蛇传媒,,,26727298,,,77662,,MBC电视台,,2016-07-20(韩国),郑幼贞,,郑大允,宋载正,
,,https://movie.douban.com/subject/25698722/,爱情,2013,,刘仁娜,全智贤,,1,,,,,,21,8.4,,, 60分钟,,2013.12.18,,,金秀贤,1.0,,韩国,,,,,来自星星的你,HB Entertainment,,,25698722,,,133898,,,,2013-12-18(韩国),朴海镇,,张太维,朴智恩,
,,https://movie.douban.com/subject/26657015/,喜剧/爱情/古装,2015,,江奇霖,盛一伦,,1,,,,,,36,7.3,,, 30分钟,,2015年12月13日起每天中午12点更新1集,,,张天爱,,,中国大陆,,,,,太子妃升职记,北京乐漾影视传媒有限公司,,,26657015,,,65258,,乐视网,,2015-12-13(中国大陆),于朦胧,,侣皓吉吉,秦爽,
1.2332500000000002,3.0930416666666667,https://movie.douban.com/subject/26430092/,剧情/爱情,2016,,杨紫,蒋欣,,1,,,,3.4540416666666673,浙江卫视CSM52城收视情况,42,7.3,,东方卫视CSM52城收视情况, 43分钟,,,,,刘涛,4.87425,,中国大陆,,0.9823333333333334,,,欢乐颂,东阳正午阳光影视有限公司、山东影视制作有限公司,,2.7720833333333332,26430092,,,84698,,,,2016-04-18(中国大陆),王子文,,孔笙,袁子弹,
,,https://movie.douban.com/subject/2338055/,科幻/西部,2016,,坦迪·牛顿,安东尼·霍普金斯,,2,,,,,,10,8.9,,, 60分钟,,,,,埃文·蕾切尔·伍德,,,美国,,,,,西部世界 第一季,,,,2338055,,,102147,,,,2016-10-02(美国),艾德·哈里斯,,乔纳森·诺兰,迈克尔·克莱顿,
,,https://movie.douban.com/subject/3609075/,剧情/爱情/家庭,2009,,文章,李念,,1,,,,,,35,7.9,,, 40分钟,,,,,海清,,,中国大陆,,,,,蜗居,,,,3609075,,,57111,,,,2009-11-16(中国大陆),郝平,,滕华涛,六六,
,,https://movie.douban.com/subject/5384548/,剧情/爱情,2011,,袁弘,吴奇隆,,1,,,,,,35,8.1,,, 49分钟,,2016年8月29日,,周一、周二晚22:00（韩国时间）,刘诗诗,,,中国大陆,,,,,步步惊心,,,,5384548,,,80702,,SBS电视台,,2011-09-10(中国大陆),郑嘉颖,,李国立,桐华,
,,https://movie.douban.com/subject/6522269/,剧情/悬疑/犯罪,2012,,安德鲁·斯科特,马丁·弗瑞曼,,4,,,,,,3,9.5,,, 90分钟,,,,2012-01-01,本尼迪克特·康伯巴奇,,,英国,,,,,神探夏洛克  第二季,BBC,,,6522269,,,180193,,,,2012-01-01(英国),鲁珀特·格雷夫斯,,保罗·麦奎根,史蒂文·莫法特,
,,https://movie.douban.com/subject/26298935/,剧情/悬疑/惊悚,2016,,岳旸,陈乔恩,,1,,,,,,21,8.2,,, 35分钟,,,,,靳东,,,中国大陆,,,,,鬼吹灯之精绝古城,企鹅影视、梦想者电影、东阳正午阳光影视有限公司,,,26298935,,,83503,,,,2016-12-19(中国大陆),赵达,,孔笙,白一骢,
,,https://movie.douban.com/subject/2210031/,爱情/奇幻/武侠,2005,,刘品言,刘亦菲,,1,,,,,,38,8.3,,, 46分钟,,,,,胡歌,,,中国大陆,,,,,仙剑奇侠传,,,,2210031,,,52621,,,,2005-01-24(中国大陆),安以轩,,吴锦源,陶海,
,,https://movie.douban.com/subject/2157130/,爱情/家庭,2003,,刘亦菲,董洁,,1,,,,,,40,8.1,,, 45分钟,,,,,陈坤,,,中国大陆,,,,,金粉世家,中央电视台影视部等,,,2157130,,,50086,,,,2003-03-20,舒耀瑄,,李大为,刘国权,
,,https://movie.douban.com/subject/1786740/,剧情/喜剧/动作,1999,,周杰,苏有朋,,1,,,,,,48,7.4,,, 48分钟,,,,7.25,赵薇,,,中国大陆,,,,,还珠格格第二部,台湾怡人传播有限公司，湖南经视,,,1786740,,,43111,,,,1999-07-25(中国大陆),张铁林,,李平,琼瑶,
,,https://movie.douban.com/subject/1830590/,剧情/爱情/传记,2001,,茹萍,陈道明,,1,,,,,,46,9,,, 45分钟,,,,,斯琴高娃,,,中国大陆,,,,,康熙王朝,中国国际电视总公司,,,1830590,,,48236,,,,2001-12-03(中国大陆),高兰村,,陈家林,朱苏进,
,,https://movie.douban.com/subject/2181930/,剧情/爱情/家庭,2001,,蒋雯丽,刘佩琦,,1,,,,,,40,9.2,,, 45分钟,,,,,斯琴高娃,,,中国大陆,,,,,大宅门,中央电视台影视部 无锡中视股份公司,,,2181930,,,47468,,,,2001-04-15(中国大陆),陈宝国,,郭宝昌,郭宝昌,
,,https://movie.douban.com/subject/1419297/,动作/犯罪/剧情,2005,,阿莫里·诺拉斯科,多米尼克·珀塞尔,,4,,,,,,22,9.2,,, 42分钟,,,,,温特沃斯·米勒,,,美国,,,,,越狱 第一季,20th Century Fox Television,,,1419297,,,115736,,,,2005-09-01(美国),彼得·斯特曼,,Brett Ratner,Paul Scheuring,
0.974,3.1155882352941178,https://movie.douban.com/subject/26427831/,剧情/爱情,2016,,白宇,杨洋,,1,,,梦想剧场,,东方卫视,30,6.3,,江苏卫视, 45分钟,,,,2016年8月22日,郑爽,3.7594117647058822,,中国大陆,,0.9187058823529414,,,微微一笑很倾城,上海剧酷文化传播有限公司,,,26427831,,,64124,,东方卫视,,2016-08-22(中国大陆),毛晓彤,,林玉芬,顾漫,
,,https://movie.douban.com/subject/2154743/,剧情/奇幻/古装,1990,,何威,达奇,,1,,,,,,36,7.9,,,,,,,,傅艺伟,,,中国大陆,,,,,封神榜,中国星电影有限公司、博纳影业集团,,,2154743,,,22914,,,,1990,蓝天野,,郭信玲,许仲琳,
,,https://movie.douban.com/subject/2373195/,犯罪/剧情,2008,,迪恩·诺里斯,亚伦·保尔,,5,,,,,,7,8.8,,, 50分钟,,,,,布莱恩·科兰斯顿,,,美国,,,,,绝命毒师 第一季,,,,2373195,,,83329,,,,2008-01-20(美国),安娜·冈,,亚当·伯恩斯坦,文斯·吉里根,
